ARTISTA,TITULO,DURACION
The Neanderthals,Hey GoGo,00:01:53
The Neanderthals,Be True To Your School,00:02:04
Firebeats LTD.,Hemmenling Agent,00:01:59
The Phantom Keys,Gloria´s Nightmare,00:03:04
Pow Pow Pows,Apocalipsis Matinal,00:02:45
Fogbound,Edward Divine,00:03:16
The Embrooks,Jack,00:03:59
The Black Lips,Stuck In My mind,00:01:55
The Breadmakers,Magic Touch,00:02:19
The Aftermaths,Dull Boy,00:02:53
The Wildebeests,One Minute´s Time,00:02:48
The Model Rockets,Calling Panther Lake,00:02:31
The Full Time Men,I´m Gonna Have Fun,00:02:43
Irmans,Hermano,00:03:20
The Coyote men,White Lightning,00:03:15
Pelomono,La Danza De La Cobra,00:03:45
JC BROOKS,I´M TRYING TO BREAK YOUR HEART,00:03:29
JR WALKER  & THE ALL STARS,BUCKER UP BUTTERCUP,00:03:17
Hannah Williams & The Affirmations,50 Foot Woman,00:03:44
Tanika Charles,Endless Chain,00:03:16
The HAWK feat Little Hannah Collins,Don't judge a book by its cover,00:03:39
The New Mastersounds,Your Love Is Mine (Nostalgia 77 Remix) [feat. Corinne Bailey Rae],00:03:20
THE RIGHT ONS ,WAITING FOR THE MAN,00:04:30
RAY LUGO'S L.E.S. EXPRESS,"Love Me Good"" (Feat. Roxie Ray)",00:03:00
KOKOLO,"Afrika Man"" (Diesler Remix)",00:03:51
Floyd Lawson & The Hearts of Stone,Air I breathe,00:02:02
One Pac & Fellows,KELENGETTI,00:05:00
SARAVAH SOUL,SUPERSOSSEGO (INSTRUMENTAL),00:04:35
The Sound Stylistics,Put It In The Pocket,00:03:35
 Baker Brothers,once I had a friend,00:04:11
THE SWEET VANDALS ,FEEL ALIVE,00:04:14
Gizelle Smith,une (TM Juke Remix),00:03:52
FUNDACION TONY MANERO,Paquito's Way (En Vivo),00:04:43
THE WOGGLES,TRUE KINGS OF ROCK AND SOUL,00:02:58
LOS RETROVISORES,MUSIC MAN,00:02:45
THE VALENTINES,"THAT'S IT, MAN",00:02:52
CHUBBY CHECKER,KARATE MONKEY,00:02:46
MARTA HIGH,ANSWER TO MOTHER POPCORN,00:03:28
GARLAND GREEN,I QUIT RUNNING THE STREETS,00:03:16
GIZELLE SMITH,JUNE (TM REMIX),00:03:52
IKAH &THE SOUL COMMANDERS,SO SWEET,00:05:02
