ARTISTA,TITULO,DURACION
The Loved Ones,You Better Do Right ,00:03:16
The Premonitions,I'll Make You Happy,00:02:50
The Cynics,"Girl, You're On My Mind",00:02:11
Hollywood Sinners,Todo el mundo haciendo el down,00:01:55
The Vine ,Ride,00:02:43
THE THUNDERBEATS,Make You Mine,00:02:49
Cyanide Pills,Apathy,00:01:39
The Fleshtones,Gotta Get Away (Stones Cover),00:03:13
Subsonics,Frankenstein,00:03:05
The Sonics,The Witch ,00:02:41
Autoramas,Quando a Polícia Chegar,00:02:26
Los Pepes,The Trap,00:02:59
The Smoggers,Recuerdes para Mi,00:02:28
The Mystery Lights,Thick Skin,00:04:08
WEIRD OMEN,Problem In Your Brain,00:02:32
Thee Braindrops,Lorraine,00:02:12
The Cramps,Human Fly,00:02:17
Suicide Generation,Shitty In The City,00:02:43
Automatic Lovers,Boston Brats,00:03:24
Danger,Too Bad (For You),00:02:33
STIFF RICHARDS,DIG,00:03:54
HAIRY NIPPLES,Basement tapes,00:02:45
SINCIDERS,Powdered Shit,00:01:41
Sir Bald y Los Hairies,Shakin' the Bacon,00:02:16
The Peawees,Banana Tree,00:03:02
Muck and the Mires,Saturday Let Me Down Again (Q-Dee Version),00:03:15
Los Zinkos,Tú mandas en mí,00:02:26
Los Saicos,Demolición,00:02:54
Los Moustros del Espacio Exterior,Mi Traje Nuevo,00:02:08
Loose Lips,Hungry Heart,00:02:34
Las Señoritas Estrechas,Lara,00:02:27
Enamorados,Chaqueta de Cuero,00:02:17
Doctor Explosion & Jaime Urrutia,Pitusa,00:02:27
Hombre Lobo Internacional,"Drink It Up, Shake It Up!",00:02:40
Bilk,Daydreamer,00:03:45
Parquesvr,Conchi,00:02:18
DUSTAPHONICS ,Johnny & Bo,00:02:43
The Bellrays,Ball of confusion,00:03:25
Private Function ,Evie Part 4,00:04:32
Los Chicos,Never Is Too Much,00:02:29
Amyl and the sniffers ,Bubblegum,00:03:32
Spencer Davis Group ,Gimme Some Lovin,00:03:00
The Kinks,You Really Got Me,00:02:14
The Beatles,Long Tall Sally,00:02:02
The Tripwires,C´mon and Swim,00:02:51
The New Piccadillys,Judy Is A Punk,00:01:44
The Neatbeats,Shake! Twist! Gravy!,00:02:29
The Fuzillis ,Pickle Swap,00:02:05
The Woggles,Slippin´out,00:02:50
The Maharajas,(Let´s) Play House,00:02:35
The Premonitions,I´ll Make You Happy,00:02:49
Firebeats LTD.,I Can´t Find Nobody,00:01:59
The Embrooks,Terry & Julie,00:03:04
The Loons,Daffodils Or Despair	,00:03:13
The Cynics,I Don´t Need You,00:01:31
Elton Motello,Jet Boy Jet Girl,00:03:11
The Rockets,Even Money,00:02:44
Vulpes,Me Gusta Ser Una Zorra,00:02:33
Nervous Eaters,No More Idols,00:02:30
Automatic Lovers,Boston Brats,00:03:22
The Chats,Struck By Lightning,00:03:22
Stiff Richards,GFC,00:02:10
Los Pepes,This Is Rock and Roll,00:02:43
Cyanide Pills,Apathy,00:01:38
The Mr T Experience,Tapin'Up My Heart,00:03:27
Enamorados,Chaqueta de Cuero,00:02:16
Deaf Devils,Boom,00:02:21
Cloaca,Directo Al Nicho,00:02:54
Sex Organs,Where Is My Dildo,00:02:43
The Zeros,They Say That (Everything's Alright),00:02:21
Manfred Mann,"Dealer, Dealer",00:02:37
The Rolling Stones,Money,00:02:32
The Monkees,I`m a Believer,00:02:45
Lady Dottie & The Diamonds,Have Love Will Travel,00:03:14
The Woggles,Karate Monkey,00:02:50
Imperial Surfers,Twitchin´,00:02:05
The Routes,Do What´s Right By You,00:02:28
Schizophonics,Rat Trap,00:02:16
The Loons,Don´t Make Me Wait,00:03:18
Doctor Explosión,No Puedo Reirme,00:02:39
Wau y los Arrrghs!!!,Viva Link Wray,00:02:20
Private Function,Yellow,00:03:36
Carolina Durante,Cayetano,00:02:50
The Hives,Walk Idiot Walk,00:03:51
Los Flechazos,No Sabes Bailar,00:02:02
Tino Casal,Eloise,00:05:28
THE KNICKERBOCKERS,LIES,00:02:49
Syndicate Of Sound,Rumors,00:02:07
The Sons Of Fred,Baby What Do You Want Me To Do ?,00:02:26
The Buddhas,Lost Innocence,00:02:18
The Rattles ,The Witch,00:02:34
Quests ,Shadows of Night,00:02:37
Wead,By The Whey,00:02:21
Ken & The Forth Dimension,Now You Say We're Through,00:02:01
The Low Spirits,Can't Love You Back,00:02:14
The Premonitions,She Took My Heart And Soul,00:04:23
The Loons,Don't Make Me Wait,00:03:18
The Woggles,Please Leave My Mind,00:02:39
The Satelliters,The Thing,00:02:45
Wyld Goons ,Doesn't Matter To Me,00:02:26
The Night Times,I'm Leaving You,00:03:07
The Somggers,You'll Really Go,00:03:52
The Phrogs,Baby I'm Gone,00:03:59
The Cybics,I Don't Need You,00:02:09
The Baron Four ,Walking Out,00:02:15
Glandula,El Ciervo,00:02:50
Las Gonadas,Motocarro,00:03:00
Los Malinches ,Hechicera,00:04:01
Los Iracundos,Ven Que Qestoy Hirviendo,00:02:04
Los Monjes,Mi Mami Dijo,00:02:12
Los Peyotes,El Humo Te Hace Mal,00:03:06
Los Glurps,No Quiero No Puedo,00:02:21
The Night Times feat. Juanito Wau,Yo Grito,00:02:26
Thee Braindrops,Lorraine,00:02:09
Los Sex Sex Sex,Algo Salvaje,00:02:34
The Subsonics,Frankenstein,00:02:56
WEIRD OMEN,Problem With Ur Brain,00:02:52
MFC Chicken,Lucille,00:02:06
Stompim' Riffraffs,Heavy Sick,00:02:05
The Tripwires,C'Mon And Swim,00:02:51
Las Munjitas Del Fuzz,Es El 69,00:02:20
Enamorados ,Chaqueta de Cuero,00:02:16
Vulpess,Me Gusta Ser Una Zorra,00:02:55
Nervous Eaters,No More Idols,00:02:52
The Undertones,Jimmy Jimmy,00:02:42
Sex Pistols,God Save The Queen,00:03:24
The Mr T experience,Tapin' Up My Heart,00:03:28
The Covids,Banned From The USA,00:02:44
Automatic Lovers,Boston brats,00:03:24
Los Chicos ,Wrecking Rome,00:03:35
Los Pepes,This Is Rock And Roll,00:02:46
Memo PST,Puzzle Piece,00:03:17
Deaf Devils,Boom,00:02:23
Adam West,Psycho Therapy,00:02:23
The Chats Struck By Lightning,Struck By Lightning,00:01:45
Stiff Richards,GFC,00:02:15
KC & The Sunshine Band,That's The Way I Like It,00:02:59
Arthur Conley ,AUNT DORA'S LOVE SOUL SHACK,00:02:50
DON COVAY,SOOKIE SOOKIE,00:02:46
BLACKBERRIES,TWIST & SHOUT,00:03:04
THE JACKSONS,BLAME IT ON THE BOOGIE,00:03:32
LEN BARRY,LIP SYNC,00:02:32
LEN BARRY,"AT THE HOP ""65""",00:02:45
RARE EARTH,GET READY,00:02:47
"EARTH, WIND & FIRE",SEPTEMBER,00:03:37
EDDY ROSEMOND,"WAKE UP AND MOVE ""FUNK IT""",00:03:50
THE INCREDIBLE BONGO BAND,BONGOLIA,00:02:14
THE SWEET VANDALS ,TOO MUCH,00:04:23
THE SOUL INMIGRANTS,SUNK WITH THE FUNK,00:03:43
BILLIE DAVIS,I WANT YOU TO BE MY BABY,00:02:36
ELMORE JAMES,SHAKE YOUR MONEY MAKER,00:02:30
THE MAR-KEYS,ONE DEGREE NORTH,00:01:58
BILLIE SWIVS,TIME IS NOT ON MY SIDE,00:03:15
Los Angeles," Dime, Dime",00:02:12
Los Albas ,Bugulu,00:02:19
LOS BRAVOS,BRING A LITTLE LOVIN',00:02:23
Los Roberts ,El Saltamontes,00:03:32
Los Sirex,El Tren de la Costa,00:03:28
Los Brincos,El Pasaporte,00:02:35
Los Sirex,YO GRITO,00:02:33
Los Salvajes,THESE BOOTS ARE MADE FOR WALKING,00:02:48
Los Salvajes,ES LA EDAD,00:03:20
THE PETS,EL ENTIERRO DE UN HOMBRE RICO QUE MURIO POBRE,00:03:05
MARCOS ROBERTO,O PRISIONEIRO,00:02:49
Los York's ,Abrázame,00:02:12
EDUARDO ARAUJO,"NEM SIM, NEM NAO",00:03:08
The Mystery Lights ,BEFORE YOU REALIZE IT,00:02:04
DR. EXPLOSION,ROMPI LA TELEVISION,00:02:15
THE PUDDIN HEADS,NOW YOU SAY WE'RE THROUGH,00:02:04
Ian Kay,It Didn't Takee Too Long,00:02:20
THE WOGGLES,PLEASE LEAVE MY MIND,00:02:38
THE WYLD GOONS,YOU DID ME WRONG,00:02:21
The Phantom Keys,TURN BLACK,00:02:28
"THE 5, 6, 7, 8'S",TEENAGE HEAD,00:02:52
THE THUNDERBEATS,SOMEBODY ISN'T FEELING,00:02:48
DR. EXPLOSION,LA CACA DE COLORES,00:03:14
VINICIUS & CONJUNTO DINAMITE,NAO QUERO O SEU AMOR,00:02:48
The Smoggers,She's Wicked,00:03:20
Wau y los Arrrghs!!!,"COPA, RAYA, PALIZA",00:03:03
ROBERT GORDON,THE WAY I WALK,00:02:48
The Cowslingers,I CAN TELL,00:02:05
LAS GRECAS,TE ESTOY AMANDO LOCAMENTE,00:03:11
ENCARNITA POLO,QUE CON EL TRAN,00:03:38
ZOMBIES,GROENLANDIA,00:03:45
RADIO FUTURA,ENAMORADO DE LA MODA JUVENIL,00:03:40
Los Ronaldos,SACA LA LENGUA,00:04:38
EJECUTIVOS AGRESIVOS,MARI PILI,00:03:57
PLASTIC BERTRAND,ÇA PLANE PUR MOI,00:03:02
THE B-52'S,LOVE SHACK,00:04:15
THE B-52'S,ROCK LOBSTER,00:03:58
BLONDIE,HEART OF GLASS,00:03:54
KIM WILDE,KIDS IN AMERICA,00:03:25
JANE'S ADDICTION,BEEN CAUGHT STEALING,00:03:34
EMF,UNBELIEVABLE,00:03:30
THE VINES,RIDE,00:02:36
THE BLACK CROWES,JEALOUS AGAIN,00:04:35
PIXIES,VELOURIA,00:03:40
HOSTIA PEDAGOGICA,ABAJO CON EL TRABAJO,00:03:52
THE DAMNED,SMASH IT UP,00:02:56
THE DAMNED,NEAT NEAT NEAT,00:02:42
Fundacion Francisco Frankenstein,NO ESTAMOS MUERTOS,00:04:57
ALIEN NOSEJOB,TELEVISION SETS ARE GOING CHEAP,00:02:02
DMZ,LIFT UP YOUR HOOD,00:01:44
STIV BATORS,IT'S COLD OUTSIDE,00:02:50
THE ROMANTICS,LO QUE ME GUSTA DE TI,00:02:56
THE KNACK,LET ME OUT,00:02:20
REZILLOS,TOP OF THE POPS,00:03:13
Elton Motello,POGO POGO,00:02:41
Lie Detectors,ME GUSTA LA CALLE,00:03:44
FABULOUS THUNDERBIRDS,I BELIEVE I'M IN LOVE,00:02:28
NEW RACE,CRYING SUN,00:02:51
NICK CURRAN,REEL ROCK PARTY,00:03:10
NESTER DONUTS,COCAINA,00:00:49
LOS INTRUSOS,YO SOLO QUIERO BAILAR ROCK AND ROLL,00:02:34
BLACK JOE LEWIS,BOBBY BOOSHAI,00:02:43
BUZZCOCKS,EVER FALLIN' IN LOVE,00:02:40
Private Function,"GOOD FIGHT, GOOD NIGHT",00:03:15
TEENAGE BOTTLEROCKET,SKAYE OR DIE,00:01:50
MACK RICE ,BABY I'M COMING HOME,00:02:12
PERCY SLEDGE,PUT A LITTLE LOVIN' ON ME,00:02:43
Baby Charles,BACK OF MY HAND,00:04:31
ANTIBALAS,CHE CHE COLÉ,00:04:08
LOS AFRICANOS,TOGEHTHER PEOPLE (PAMOJA WATU),00:02:58
ELIA Y ELIZABETH,ALEGRIA,00:04:00
THE GHETTO BROTHERS,GOT THIS HAPPY FEELING,00:04:36
TITO RAMIREZ,POWWER OF LOVE,00:03:40
BOOGALOO ASSASSINS,NO NO NO,00:03:50
NICO GOMEZ & HIS AFRO PERCUSSION INC.,LUPITA,00:03:42
SUNLIGHT SQUARE LATIN COMBO,I BELIEVE IN MIRACLES,00:03:57
The Sweet Vandals,TOO MUCH,00:04:23
THE DELTA RYTHM SECTION ,THE GETAWAY,00:02:59
RAMONCITO,"SI TU NO, LA OTRA",00:03:10
TITO RAMIREZ,POWWER OF LOVE,00:03:40
TITO RAMIREZ,HAVE TO SEE MA BABE,00:03:18
"CELIA, JOHNNY, JUSTO & PAPO",BESITO DE COCO,00:04:29
"CELIA, JOHNNY, JUSTO & PAPO",GUILLATE,00:05:38
ROMPERAYO,QUE TUMBA,00:03:15
ROMPERAYO,"HEY, NO TE FAJES",00:03:31
LOS FULANOS,BLUE MONDAY,00:03:28
LOS FULANOS,WHY DON'T WE DO SOME BOOGALOO,00:03:43
VIVA ZEQUEIRA,CHICA BOUM2:49,00:02:49
BOOGALOO ASSASSINS,NO NO NO,00:03:50
BOOGALOO ASSASSINS,EVIL WAYS (INSTRUMENTAL),00:02:55
LUCHITO,THE HARLEM BUGALÚ,00:03:46
JOAQUIN MARQUEZ,MALA MANIA,00:03:40
